longitude,latitude,name,address,pname,cityname,adcode,adname,business_area,type,id
114.234164,30.622943,中国电信股份有限公司湖北客户服务中心,江汉经济开发区江旺路1号,湖北省,武汉市,420103,江汉区,常青,公司企业;公司;电信公司,B001B16EE1
114.228797,30.622077,武汉三力通信有限责任公司,江汉经济开发区江汉经济开发区区江兴路22号京山轻机大厦5楼,湖北省,武汉市,420103,江汉区,常青,公司企业;公司;电信公司,B001B15SFD
114.234684,30.622262,中国通信服务,发展二路与江旺路交叉口西南100米,湖北省,武汉市,420103,江汉区,常青,公司企业;公司;电信公司,B0FFHNO0L7
114.234623,30.622531,湖北电信实业有限责任公司(江旺路),江汉经济开发区江旺路2号,湖北省,武汉市,420103,江汉区,常青,公司企业;公司;电信公司,B001B08VLH
114.233045,30.620473,中国移动,江达路9号汉口客户服务中心2号客服生产楼5层,湖北省,武汉市,420103,江汉区,常青,公司企业;公司;电信公司,B0FFKEI5GR
114.24051,30.62426,中国电信集团湖北省电信公司,汉兴街街道汉兴街办事处常青路158号,湖北省,武汉市,420103,江汉区,常青,公司企业;公司;电信公司,B0FFKQVZ0A
114.244067,30.626098,中国电信股份有限公司号百信息服务分公司,常青五路99号,湖北省,武汉市,420103,江汉区,常青,公司企业;公司;电信公司,B001B1BYHH
114.244034,30.625707,中国电信集团系统集成有限责任公司湖北分公司,常青街办事处常青五路99号,湖北省,武汉市,420103,江汉区,常青,公司企业;公司;电信公司,B0FFHIJE3W
114.2438,30.626018,中国电信股份有限公司湖北移动互联网增值业务销售中心,常青五路99号,湖北省,武汉市,420103,江汉区,常青,公司企业;公司;电信公司,B001B0B0AC
114.243889,30.625968,中国电信湖北省电信有限公司宣传中心,常青五路99号,湖北省,武汉市,420103,江汉区,常青,公司企业;公司;电信公司,B001B08VZH
114.232747,30.620255,中国移动通信集团湖北有限公司客户服务中心,江汉经济开发区江发路10号,湖北省,武汉市,420103,江汉区,常青,公司企业;公司;电信公司,B001B16XBI
114.226464,30.583115,中国电信股份有限公司武汉硚口区分公司水厂分局,建设大道43-2号附近,湖北省,武汉市,420104,硚口区,宗关,公司企业;公司;电信公司,B0FFH1GV6S
114.210785,30.591252,湖北省电信公司硚口区电信局,解放大道227号古田四路,湖北省,武汉市,420104,硚口区,古田,公司企业;公司;电信公司,B001B0BJ0G
114.213253,30.593128,中国电信股份有限公司湖北传输局,古田四路23-25号,湖北省,武汉市,420104,硚口区,古田,公司企业;公司;电信公司,B001B0A4XX
114.212773,30.594523,中国移动工程公司,古田街道古田四路25号,湖北省,武汉市,420104,硚口区,古田,公司企业;公司;电信公司,B0FFIBCZDB
114.238789,30.608472,中国电信常码头局,常腾街8号,湖北省,武汉市,420104,硚口区,常青,公司企业;公司;电信公司,B001B16X09
114.210851,30.591264,中国电信股份有限公司武汉硚口区分公司南垸分局,解放大道217号,湖北省,武汉市,420104,硚口区,古田,公司企业;公司;电信公司,B0FFHFUVJW
114.213253,30.593128,中国电信股份有限公司湖北机动通信局,古田四路23-25号,湖北省,武汉市,420104,硚口区,古田,公司企业;公司;电信公司,B0FFFDDNPF
114.21175,30.564536,中国联通武汉分公司(龙阳大道),二桥玫瑰园街108号华大大厦5层,湖北省,武汉市,420105,汉阳区,琴断口,生活服务;电讯营业厅;中国联通营业厅|购物服务;家电电子卖场;手机销售|公司企业;公司;电信公司,B001B09U2G
114.249509,30.611081,中国联通武汉长乐机房,常青街街道常青街办事处常青路296号天时大厦中国联通武汉分公司长乐机房,湖北省,武汉市,420103,江汉区,常青,公司企业;公司;电信公司,B0FFG4HGEC
114.219041,30.557823,武汉电信工程有限公司,汉阳大道643号十里铺,湖北省,武汉市,420105,汉阳区,七里庙,公司企业;公司;电信公司,B001B160KA
114.207712,30.557631,中国移动汉阳区分公司,龙阳凯悦大厦B座8-9层,湖北省,武汉市,420105,汉阳区,,公司企业;公司;电信公司,B0FFF901YR
